"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 21:00:24 GMT 2022","Fri Nov 25 21:00:25 GMT 2022","698","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Fri Nov 25 21:00:18 GMT 2022","Fri Nov 25 21:00:19 GMT 2022","681","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Nov 25 21:00:17 GMT 2022","Fri Nov 25 21:00:18 GMT 2022","718","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Fri Nov 25 21:00:23 GMT 2022","Fri Nov 25 21:00:23 GMT 2022","666","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Fri Nov 25 21:00:19 GMT 2022","Fri Nov 25 21:00:20 GMT 2022","514","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"failed","Fri Nov 25 21:00:30 GMT 2022","Fri Nov 25 21:00:30 GMT 2022","314","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an error because of unvalid body",""
"passed","Fri Nov 25 21:00:27 GMT 2022","Fri Nov 25 21:00:28 GMT 2022","1053","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an error because of unvalid path",""
"passed","Fri Nov 25 21:00:10 GMT 2022","Fri Nov 25 21:00:11 GMT 2022","503","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Fri Nov 25 21:00:11 GMT 2022","Fri Nov 25 21:00:12 GMT 2022","721","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Fri Nov 25 21:00:23 GMT 2022","Fri Nov 25 21:00:24 GMT 2022","896","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Fri Nov 25 21:00:11 GMT 2022","Fri Nov 25 21:00:11 GMT 2022","643","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Fri Nov 25 21:00:26 GMT 2022","Fri Nov 25 21:00:26 GMT 2022","657","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Fri Nov 25 21:00:27 GMT 2022","Fri Nov 25 21:00:27 GMT 2022","393","chromium","dummyapi.spec.ts","tests dummyapi.io","","","it should return an empty result array",""
"passed","Fri Nov 25 21:00:19 GMT 2022","Fri Nov 25 21:00:19 GMT 2022","650","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Fri Nov 25 21:00:22 GMT 2022","Fri Nov 25 21:00:23 GMT 2022","754","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Fri Nov 25 21:00:09 GMT 2022","Fri Nov 25 21:00:10 GMT 2022","1116","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Fri Nov 25 21:00:21 GMT 2022","Fri Nov 25 21:00:22 GMT 2022","693","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Nov 25 21:00:14 GMT 2022","Fri Nov 25 21:00:14 GMT 2022","675","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Fri Nov 25 21:00:20 GMT 2022","Fri Nov 25 21:00:21 GMT 2022","721","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Fri Nov 25 21:00:13 GMT 2022","Fri Nov 25 21:00:14 GMT 2022","899","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Nov 25 21:00:16 GMT 2022","Fri Nov 25 21:00:17 GMT 2022","697","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Fri Nov 25 21:00:14 GMT 2022","Fri Nov 25 21:00:15 GMT 2022","752","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Fri Nov 25 21:00:16 GMT 2022","Fri Nov 25 21:00:16 GMT 2022","739","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Fri Nov 25 21:00:25 GMT 2022","Fri Nov 25 21:00:26 GMT 2022","825","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Fri Nov 25 21:00:12 GMT 2022","Fri Nov 25 21:00:13 GMT 2022","802","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Fri Nov 25 21:00:15 GMT 2022","Fri Nov 25 21:00:16 GMT 2022","690","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Fri Nov 25 21:00:31 GMT 2022","Fri Nov 25 21:00:32 GMT 2022","1542","chromium","example.spec.ts","","","","homepage has title and links to intro page",""
"passed","Fri Nov 25 21:00:26 GMT 2022","Fri Nov 25 21:00:27 GMT 2022","485","chromium","dummyapi.spec.ts","tests dummyapi.io","","","should list the first 10 users from 99 in total",""
"passed","Fri Nov 25 21:00:20 GMT 2022","Fri Nov 25 21:00:20 GMT 2022","615","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
